event_id,url,title,date_start,time_start,location,ticket_price_text,ticket_free,ticket_url,description,categories,organizer
9d44af4aa2740d427509afd3c029e0e6,https://mktickets.mk/event/%d0%bc%d0%b0%d0%ba%d0%b5%d0%b4%d0%be%d0%bd%d0%b8%d1%98%d0%b0-%d0%bb%d0%b0%d1%82%d0%b2%d0%b8%d1%98%d0%b0/,Македонија – Латвија,12-07-2024,17:00,"Тренинг Центар „Петар Милошевски“, Скопје",,False,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Квалификационен натпрервар помеѓу А женските национални репрезентативни тимови на Македонија и Латвија,
12.07.2024
17:00ч
Билетите по цена од 150 денари може да ги набавите низ продажната мрежа на MkTickets.",,
ec56a78b768623fa3dd309ef5f4df589,https://mktickets.mk/event/zpatmd/,Концерт на Зарина Првасевда @ MakeDox 15,15-08-2024,23:00,"Куршумли Ан, Скопје",200ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Event details
Date (start)
15-08-2024
Location
Куршумли Ан
City
Скопје
Time (start)
23:00",,
8d7be40d340c280b6787a4be7ed46f11,https://mktickets.mk/event/dmdv/,ДЕДО МРАЗ ДОЈДЕ СО ВОЗ,25-12-2024,19:00,"Железничка Станица Скопје, Скопје",500ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Најмладите, но и сите возрасни што веруваат во Дедо Мраз, годинава ќе имаат уникатна можност да ја проследат оваа претстава која го следи големото доаѓање на ДЕДО МРАЗ во СКОПЈЕ, со вистински воз, на перонот бр.1 на скопската железничка станица.
Претставата покрај забавниот, има и едукативен каратер. Посетителите, низ забавни и
интерактивни, актерски креации, ќе имаат можност да ги посетат:
– МУЗЕЈСКАТА ПОСТАВКА НА МАКЕДОНСКИ ЖЕЛЕЗНИЦИ
– ТЕАТАРСКА ПРЕТСТАВА
– ДОЧЕК НА ДЕДО МРАЗ НА ПЕРОНОТ бр.1
– ДРУЖБА СО ДЕДО МРАЗ
– НОВОГОДИШНИ ПОДАРОЦИ ОД НАШИТЕ ПРИЈАТЕЛИ
Претставата ги следи патешествијата со кои се соочува Дедо Мраз пред да стигне на Железничката станица во Скопје. Поради голем дефект предизвикан од глобалното затоплување, неговото доаѓање е неизвесно и му треба помош од децата, т.е. посетителите.","['kids', 'theatre']",
a1b9faf0cf44b423781df78984f8c494,https://mktickets.mk/event/ttmh/,TARJA TURUNEN & MARKO HIETALA,05-04-2025,20:00,"Младински Културен Центар, Скопје",2100ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Неверојатните
Tarja Turunen и Marko Hietala
пристигнуваат во Скопје со концерт во рамки на
ТАКСИРАТ 2025!
Нивниот извонреден талент фановите го величат уште од времето кога тие беа дел од култниот нордиски бенд Nightwish, а во оваа ексклузивна прилика повторно ги гледаме заедно на сцена со специјалната турнеја –
Living The Dream Together Tour 2025!
5. АПРИЛ 2025
Младински Културен Центар, Скопје
Првите 100 билети со промо-цена: 1200 денари
–
РАСПРОДАДЕНО
Следните 300 билети се со цена: 1500 денари. –
РАСПРОДАДЕНО
Последна промо цена: 1800 денари
РАСПРОДАДЕНО",['concert'],
d52feee854776bf51d05a6ffc9ac9a95,https://mktickets.mk/event/alkasilk/,РК Алкалоид – РК Силкеборг,14-11-2023,18:45,"Спортски центар „Јане Сандански”, Скопје",100-150ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Натпревар од ЕХФ Европската Лига
14.11.2023  / 18:45 / СЦ Јане Сандански",,
6c4244d997c30cf8db2b692747b76609,https://mktickets.mk/event/new-future-city-radio-damon-locks-rob-mazurek-mauricio-takara/,NEW FUTURE CITY RADIO (DAMON LOCKS / ROB MAZUREK / MAURICIO TAKARA),15-10-2022,00:00,"Младински Културен Центар, RADIO (DAMON LOCKS / ROB MAZUREK / MAURICIO TAKARA) - MKTickets : MKTickets",400ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Rob Mazurek
– труба, електроника
Damon Locks
– вокал, електроника
специјален гостин:
Mauricio Takara
– перкусии, електроника
New Future City Radio е проект на Роб Мазурек и Дејмон Локс. Во ова ново дуо, двајцата размислуваат за заедницата, трансформацијата и иднината, низ призмата на една имагинарна пиратска радио станица за народот. Темите, од звучен и текстуален аспект, беа однапред детерминирани, но импровизацијата ја води приказната. Роб Мазурек е познат по широкиот спектар негови сопствени ансамбли, како и по соработките. Во овој проект, тој е во партнерство со Дејмон Локс, член на неговиот Exploding Star Orchestra, кој е познат не само како глас во овој извонреден оркестар, туку и како водач на Black Monument Ensemble (и двете групи издаваат за култната чикашка етикета „International Anthem“). Дуото подеднакво одговара за електронските делници, но секој посебно го презема водството кога е потребно, со своите специјалитети: Роб со трубата и Дејмон со гласот. Нивната музика во еден миг може да зазвучи отворено бомбастична, а во следниот нежно емотивна, а најчесто е некаде во средината. На прашањето за музиката на New Future City Radio, тандемот во еден глас извикува: „Зборуваме за пост, пост, пост, иднина. Зборуваме за издржливост и левитација. Зборуваме за убавината и структурниот интегритет на нашиот народ. Зборуваме за светлосните зраци кои раскажуваат приказни и едуцираат. Ајде да зборуваме за тоа ако сакате да разговараме за новата иднина!“ Во Скопје, како специјален гостин, ќе им се придружи бразилскиот перкусионист Мауруцио Такара (Hurtmold, São Paulo Underground…).",['concert'],
bbabe453481059cb308d3845b87221bd,https://mktickets.mk/event/project-kalabalak/,Project Kalabalak,20-07-2024,21:00,"Паркинг Орел, Радовиш",300ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"PROJECT KALABALAK 2024
Спремни за добра забава на отворено?!… 20 Јули е датумот на кој Радовиш повторно ќе биде главниот центар на случувањата во Македонија, и овој пат со оригинална атмосфера која ќе ја овозможат светските, но и домашни артисти.
Меѓу нив се:
Dj Cobe
Ivan Dimov
Dj Flowzy
Fecky Farris
ROMY JANSSEN (NL)
Придружете им се на оние кои знаат како да се забавуваат на подиум на една урбана уметност, каде ќе бидете сведоци на извонредни музички артисти, со чија креативност, интеракција и електронска, андерграунд музика, градот Радовиш ќе го трансформираат во ултра модерен центар, а пофалбите нема да изостанат!",['concert'],
9c4cd6499940bd16faeaf6ccc17d891a,https://mktickets.mk/event/am17/,ARCTIC MONKEYS REAL TRIBUTE,17-02-2023,20:00,"Станица 26, Скопје",500ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Arctic Monkeys tribute Band – Stereo Deficit, групата првично беше создадена во средината на 2010 година како резултат на взаемната љубов меѓу тројца браќа према разноврсните прогресивни музики. Подоцна им се придружи и четвртиот член на бендот за најпосле да се оформи Arctic Monkeys tribute band.
Членови на бендот се: Стефан Мијајловиќ (гитара / вокал), браќа Матиќ, Андреа (гитара / вокал), Никола (бас) и Алекс (тапани / вокали). Зад нив бројат многу настапи во земјата и во регионот, а скоро секогаш публиката е воодушевена од нивните изведби на најголемите хитови на Arctic Monkeys.",,
745d988b6c06ae63c2d3159a7ff1a76f,https://mktickets.mk/event/zjmrambo/,ЗЏМ БИГ БЕНД И РАМБО АМАДЕУС: чудо на Балканот!,08-12-2022,20:30,"Македонска Филхармонија, Скопје",1000ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"ЗЏМ со нов концерт на 8 декември: несекојдневен настан на кој ќе имате можност да ја сведочите генијалноста на едно од најголемите имиња на Балканот – Рамбо Амадеус, во придружба на нашиот единствен и неповторлив ЗЏМ БИГ БЕНД. Концертот ќе биде уникатна можност да ги чуете легендарните песни на Рамбо Амадеус во аранжмани за биг бенд.
Рамбо Амадеус е артист кој доаѓа од Црна Гора и делува како музичар и поет, гитарист, па и еко-активист. Неговите текстови и медиумски излагања се цитираат со години и децении откако се искажани. Неговите песни комбинираат уникатни сатирични текстови кои честопати ги критикуваат општествените појави кои нѐ засегаат сите, а неговите концерти речиси никогаш не значат дека ќе чуете едноставни повторувања на снимените песни. Напротив, секое слушање е ново доживување и умешна импровизација која зборува за човековата природа.",['concert'],
751aa2949804e131c67f229b75601855,https://mktickets.mk/event/mdxfestival/,Makedox 15,15-08-2024,21:00,"Куршумли Ан, Скопје                                                            Скопје                                                            Скопје                                                            Скопје",200ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Годинава, време е да дејствуваме и заедно да ја развиваме замислата за ново утре.
Слој по слој, ќе ги лупиме идеите старите, суви и ветви корки да ги оставиме зад нас, а на свежите бели нека блеснат нови движечки слики, и нови, и нови, и нови…",,
b262956972e854e3565ff4d036b27345,https://mktickets.mk/event/zs23/,ЗЛАТНО СЛАВЕЈЧЕ 2023,18-11-2023,10:00,"Македонска Филхармонија, Скопје",500ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"На 18 ноември 2023 во Македонска Филхармонија со почеток на претставите од 10:00, 12:00, 17:30  и 19:30 часот.
Билетите се во ограничен број
Ние сме повеќе од подготвени и расположени за да ги отпееме најновите детски хитови.
Се гледаме на ЗЛАТНО СЛАВЕЈЧЕ 2023",['kids'],
5839e9fd5db1224ccd2b83bbbb2b8a33,https://mktickets.mk/event/vesuku/,Веселата Шумска Куќичка,05-11-2023,11:30,"Skopje City Mall (Rooftop), Mall (Rooftop),",150ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Мој Театар – Сити Театар
Ви преставува
„Веселата Шумска Куќичка“",['theatre'],
88dcc9bc21def5c1f20f6a4df5ffba93,https://mktickets.mk/event/icss/,International contest in singing songs of Toshe Proeski,12-10-2024,19:00,"Национална Oпера и Балет, Скопје",400ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,Интернационалниот натпревар во пеење “Песните на Тоше Проески” ќе се одржи за прв пат оваа година и на него ќе учествуваат многу учесници од повеќе земји. На Гала концертот ќе имате можност да ги слушнете најдобрите учесници од натпреварот по изборот на бендот на Тоше кој што ќе биди жири на истиот. Бидете дел од еден голем настан на кој што ќе се потрудиме да им дадеме една друга димензија на хитовите на Тоше.,['concert'],
11e10e2b53d6298b7ba2668ad6fa24a9,https://mktickets.mk/event/ansambl-stefche-stojkovski/,Ансамбл Стефче Стојковски – Јубилеен концерт,21-10-2024,19:50,"Македонска Филхармонија, Скопје",550-750ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"После 21 издаден албум, 100 семинари и настапи во 42 земји низ светот, изведувачот на народни инструменти Стефче Стојковски ќе го прослави 25 годишниот јубилеј на неговиот ансамбл во големата сала на Македонска Филхармонија.",,
28a24e9ae01cbcf23c3ff68973a93fd2,https://mktickets.mk/event/m15/,СУПЕРСОНИК,06-06-2022,20:00,"Македонска Филхармонија – мала сала, Скопје",350ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Фестивал на современа музика
МОДОАРС 2022 – 15 години јубилеј
Концерт СУПЕРСОНИК
Спектакуларен суперсоничен концерт, спој на класичната и современата музика, на отварањето на јубилејното издание на МОДОАРС 2022. Во првиот дел од концертот се изведува Триптих концертот оп.10 за флејта и камерен оркестар на Антонио Вивалди, а во вториот дел премиерно ќе се изведат авторските композиции за пијано и камерен оркестар на Ема Попивода – Supersonic pieces.
Солисти:
Џузепе Нова – флејта (Италија)
Ема Попивода – пијано
Камерен оркестар Профундис
Диригент: Паоло Шибилиа (Италија)","['concert', 'festival']",
eb78f1c0cee4d39635099c88dac3f5bd,https://mktickets.mk/event/saemnakniga23/,Саем на КНИГА 2023,04-05-2023,10:00,"С.Ц. Борис Трајковски, Скопје",80ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"Домашни издавачки куќи
Меѓународни издавачи
Промоции на автори и наслови",,
b1bd71fd6fb34f0c0d8963b3b2c55199,https://mktickets.mk/event/%d0%ba%d0%b0%d1%80%d0%bc%d0%b8%d0%bd%d0%b0-%d0%b1%d1%83%d1%80%d0%b0%d0%bd%d0%b0-%d0%ba%d0%b0%d1%80%d0%bb-%d0%be%d1%80%d1%84-2/,„КАРМИНА БУРАНА“ – Карл Орф,16-10-2024,20:00,"Национална Oпера и Балет, Скопје",600-800ден.,True,https://mktickets.mk/%d0%ba%d0%b0%d0%ba%d0%be-%d0%b4%d0%b0-%d0%ba%d1%83%d0%bf%d0%b0%d0%bc/,"„КАРМИНА БУРАНА“
Карл Орф
16.10.2024 –  20ч.
Диригент Иван Еминовиќ
Концерт – мајстор:
Хор мајстори:   Јасмина Ѓорѓевска/ Ѓургица Дашиќ
Корепетитори: Елена Сиљаноска, Јанинка Невчева, Андреја Наунов и Јордан Петрушевски
Солисти на опера:
Сопран: Надe  Талевска
Баритон : Благој Нацоски
Контра тенор:  Денис Димоски
Настапуваат: Хорот и оркестарот на Националната опера и балет
Инспициенти:   Драган Костадиновиќ, Марко Павлевски
Суфлер: Невена Георгиева
ШТО Е „КАРМИНА БУРАНА“ Наједноставно кажано, тоа е вечното актуелно прашање на
животната радост, слободата и страста за која пееат уште патувачките студенти и
клериците. Истоимениот ракопис од 13 век пронајден 1803 г. во баварскиот манастир
Бенедиктбевер беше Орфова инспирација: конечно дваесетина текстови стануваат и
конкретен текстуален предлог за ова музичко остварување. Композиторот ни овде не
смета на потполно, логично разбирање, на различните јазици: барајќи ги корените на
врската што постојат помеѓу митот, музиката и јазикот, разбирањето го нуди во спрега на
сите елементи и неизбежното физичко движење – ритамот. „Што е појасна и
поедноставна пораката- уште посилен е и подиректен крајниот ефект“. Тој водечки
принцип на Орфовото уметничко уверување, силината на неговиот звук и ритамот,
произлегуваат уште од експерименталната Гинтерова школа за гимнастика, музика и игра
чии што соосновач бил и Орф во Минхен 1924г. Светот на „Кармина Бурана“ е саканиот
свет што го остваруваат најспремните. Таму каде што Фортуната- Среќата владее со
светот, а сонцето и богот на љубовта имаат власт над сите, трае силна , незапирлива
радост. Орфовата музика и неговата визија за театарската волшебност стануваат дел од
екстазата на стариот грчки театар: низ неа се обновуваат мистериите, ритуалните
свечености, латинската комедија но и фолклорниот театар од тоа поднебје. Кармина
Бурана веќе со години го привлекува вниманието на режисери и кореографи од целиот
свет поради привлечноста на синкретизмот кој зрачи како неисцрпен извор на можности
за нови идеи и инспирации.","['ballet', 'theatre', 'concert', 'standup_comedy']",
