event_id,url,title,date_start,time_start,location,ticket_url,ticket_price_text,ticket_free,description,categories,organizer,duration
cab18fef035ef2b2b8211e1da00f3e12,https://allevents.in/skopje/nick-cave-%D0%94%D0%9E%D0%90%D0%83%D0%90-%D0%92%D0%9E-%D0%9C%D0%90%D0%9A%D0%95%D0%94%D0%9E%D0%9D%D0%98%D0%88%D0%90/200028015737930,NICK CAVE ДОАЃА ВО МАКЕДОНИЈА!,,,"Stadion Na ARM, Skopje, North Macedonia, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/nick-cave-%D0%94%D0%9E%D0%90%D0%83%D0%90-%D0%92%D0%9E-%D0%9C%D0%90%D0%9A%D0%95%D0%94%D0%9E%D0%9D%D0%98%D0%88%D0%90/200028015737930,,True,"OH, WHAT A DAY: NICK CAVE, EДЕН ОД НАЈГОЛЕМИТЕ И НАЈЗНАЧАЈНИ АРТИСТИ НА НАШЕТО ВРЕМЕ ДОАЃА ВО СКОПЈЕ НА SKOPJE CALLING 2025! 22 АВГУСТ СТАДИОН НА АРМ 20 ЧАСОТ Каков е и каков бил животот зависи од тоа кои ти биле и се’ уште се твои современици. Ние не можеме да се пожалиме во тој сегмент. А, некогаш, и најубавиот сон станува реалност, иако, често и реалноста знае да биде нереална. Денес, со големо задоволство најавуваме концерт кој Скопје, Македонија а и самите ние долго време го чекавме. Па така, веројатно најбараниот и најпосакуваниот артист во Македонија, музичарот, поетот, писателот, композиторот, генијалниот уметник NICK CAVE, во склоп на својата NICK CAVE SOLO турнеја доаѓа во Скопје, придружуван од басисот на Radiohead, Colin Greenwood (да, Radiohead драги наши, член на еден од најиновативните и најважните бендови вчера, денес и утре) на 22 АВГУСТ во срцето на Скопје - под ѕвезденото небо на зелениот СТАДИОН НА АРМ! Nick Cave доаѓа со своите песни да ја испее и отсвири, и со тоа и да ја испише најинтимната и емотивно најискрената страница во сепак богатата книга на светската концертна историја на Македонија. Како што вели магазинот Beat, концертите на Nick Cave со Colin Greenwood го надминуваат обичниот entertainment и оставаат неизбришлива трага врз сите оние кои ја имаат можноста да бидат дел од нив. Македонија ќе ја има ретката ексклузивна можност да го гледа NICK CAVE во живо во неговата најинтимна и најсуштинска форма на 22 август на Стадионот на АРМ! Влезниците ќе бидат во продажба од УТРЕ (среда, 2 април) со почеток од 10 часот наутро онлајн на avalonbooking.mk и во продажната мрежа на karti.com.mk ширум Македонија! Повеќе информации околу влезниците, нивните категории и цени ќе бидат објавени вечерва во 19 часот на нашите платформи. God is officially in the house! Ваша, АП You may also like the following events from Avalon International Booking: This month, 20th August, 09:00 pm, YLL LIMANI OPEN AIR CONCERT IN SKOPJE ON AUGUST 20! in Skopje",['event'],Avalon International Booking,
3ea20489e703de77d8908e014bd47949,https://allevents.in/skopje/yll-limani-open-air-concert-in-skopje-on-august-20/200028542078203,YLL LIMANI OPEN AIR CONCERT IN SKOPJE ON AUGUST 20!,,,"Stadion Na Arm Gradski Park, Кк Работнички, Улица Аминта III, 1111 Скопје, Северна Македонија, Skopje, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/yll-limani-open-air-concert-in-skopje-on-august-20/200028542078203,,True,"YLL LIMANI WITH A BIG OPEN AIR CONCERT IN SKOPJE ON AUGUST 20! ARM STADIUM 9 PM Dear friends, It is truly a great pleasure to announce that Avalon International Booking in co-production with Three60 Music will organize the concert of the big pop star YLL LIMANI, on August 20 at ARM Stadium! After two record-breakingly sold-out ""AMC"" arenas, one of the greatest contemporary Albanian pop artists, YLL LIMANI, is coming to Skopje with a big open air show, accompanied by 10 top musicians and accompanied by world-class production, sound and light! Tickets will be on sale from Wednesday (July 23) at 10:00 AM online at www.avalonbooking.mk and the karti.com.mk sales network throughout Macedonia, as well as on rave-travel.com and kick-tick.com. 🎫 Categories and prices: - Parter: 1,500 MKD / 24.5 € - Fan Pit (limited number – only 2000 tickets): 2,500 MKD / 40 € As a large attendance is expected from all over the region – be prepared and quick on Wednesday morning! AP You may also like the following events from Avalon International Booking: This month, 22nd August, 08:00 pm, NICK CAVE ДОАЃА ВО МАКЕДОНИЈА! in Skopje Also check out other Music events in Skopje, Entertainment events in Skopje, Concerts in Skopje.",['event'],Avalon International Booking,
5e492c01cc0a649aeef3a063eea910b7,https://allevents.in/skopje/skopje-fury-festival-13092025-%D0%9C%D0%9A%D0%A6-%D0%9F%D0%B0%D1%80%D0%BA/200027725275155,Skopje Fury Festival! 13.09.2025 // МКЦ Парк,,,"Младински Културен Центар, Младински Културен центар, 1125 Скопје, Северна Македонија, Skopje, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/skopje-fury-festival-13092025-%D0%9C%D0%9A%D0%A6-%D0%9F%D0%B0%D1%80%D0%BA/200027725275155,,True,"Со особена гордост сакаме да ви го најавиме првото издание на Skopje Fury. Фестивал кој ќе се одржи на отворено во градскиот парк, во еден помал дел од стадионот на АРМ. Конечно сметаме дека е дојдено време за Скопје да добие open air метал фестивал, кој се надеваме дека со текот на времето ќе прерасне во регионален годишен собир на вљубеници во екстремната музика. 13.09.2025год. е датата која треба да ви се вреже во вашата металска потсвест и секако во вашите календари :) Спремајте се за: 6 бенда Масивна бина Метал зона Цени на карти, бендови и уште доста интересни моменти ќе објавуваме во периодот што доаѓа. Stay alert!! Skopje Fury- the inception Terrorvoid Promotions Also check out other Festivals in Skopje.",['event'],Terrorvoid Promotions,02:00 pm - 11:45 pm
69f180ee7908095fbeb85a269af10106,https://allevents.in/skopje/yll-limani-live-show-skopje/200028542078102,Yll Limani Live Show - Skopje,,,"North Macedonia, Skopje, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/yll-limani-live-show-skopje/200028542078102,,True,"YLL LIMANI LIVE SHOW IN SKOPJE OPEN AIR! 📆20 AUGUST 📍ARM STADIUM One of the greatest Albanian artists of the modern scene, YLL LIMANI, comes to Skopje with his famous ballads and pop hits that have left their mark. The audience will have the opportunity to enjoy the concert accompanied by a band of 10 professional musicians, in a performance that promises art and unforgettable sensations! This concert is not just an event – it is a symbol of a new, loud, modern and emotional era. Yll Limani will perform all the most beloved hits, will bring surprises with new versions and will unite us all through the power of music. There will be love, tears and smiles. 🎟 Tickets will go on sale on Wednesday, July 23 at 10:00 AM through kick-tick.com. Also check out other Music events in Skopje, Entertainment events in Skopje, Concerts in Skopje.",['event'],KickTick,
3c483802c4fa6b16c9e80fcc2a7366f7,https://allevents.in/skopje/skopje-run-registration-is-mandatory-weekly-meetup-recurrent-event/200028383485614,Skopje Run (Registration is mandatory / Weekly meetup / Recurrent event ),,,"Skopje, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/skopje-run-registration-is-mandatory-weekly-meetup-recurrent-event/200028383485614,,True,"🏃‍♂️ Make Friends & Run Together 🏃‍♀️ Every Saturday from 10:00 to 11:30 AM Looking to get moving and meet new people? Join us for a friendly group run – open to all levels! No need to be a pro runner – the goal is to run together and make new friends along the way 🌍💬 🕙 We start at 10:00 sharp – try to arrive a little early 💧Bring some water and a good vibe! Registration is very cheap but mandatory to enter our community, get the location and cover our advertisement fees 🧡. To keep things safe and organized, only those who have registered will be able to join the group. PS: For organizational reasons, we use the same Facebook link for multiple events. The number of participants shown on Facebook does not reflect the actual attendance, so please don’t rely on it. You may also like the following events from BlaBla Language Exchange - Macedonia: Next month, 5th September, 07:00 pm, Community Networking Meetup: For Entrepreneurs, By Entrepreneurs in Skopje Next month, 5th September, 07:00 pm, Dating Meetup - Skopje (Registration is mandatory) in Skopje Next month, 11th September, 07:30 pm, Skopje BlaBla Lanaguage Exchange - Every other Thursday - Recurrent event - in Skopje Also check out other Meetups in Skopje.",['event'],BlaBla Language Exchange - Macedonia,10:00 am - 11:30 am
b47009dcdf65bd876a1b6efdab6b9d46,https://allevents.in/skopje/skopje-blabla-lanaguage-exchange-every-other-thursday-recurrent-event/200028341266926,Skopje BlaBla Lanaguage Exchange - Every other Thursday - Recurrent event -,,,"Skopje, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/skopje-blabla-lanaguage-exchange-every-other-thursday-recurrent-event/200028341266926,,True,"🌟🌍 Hi BlaBla Language Exchange Lovers! Join our BlaBla events to meet new folks, forge friendships, and let your tongues wag in different languages! 🗣️🎉🎈! …………… 👉 Any question or request? Reach out to us on Instagram: www.instagram.com/blablalanguage …………… 👉 Join Our BlaBla Whatsapp Group: …………… 👉 Some guidelines for a delightful experience: 🆓 Our events are GRATIS, we will not charge you anything, but we kindly request that you order at least 1 beverage to participate🍹🍻 (Mandatory). - 🚫 Outside food and drinks are not allowed. - 🧹 Please respect the venues staff and make sure to leave the place clean and tidy before you leave. - 🤝 Be polite and respectful. Please kindly note that venue staff or our organizers will ban you from our events and community without any warning if you don't respect it. We offer you opportunities to make friends and improve your language skills for free. Be nice enough to make things easy for us. ................ 👉 How it's working: We are working with a mingle setup and we usually don't have designated language tables or areas. English and the local language are typically spoken. If you would like to speak other languages, please ask the organizers or seek participants who meet your language expectations. ................ 👉 Things to keep in mind before joining: - 📷 By attending our events, you consent to being photographed or filmed. Photos and videos taken during the events will be shared on our social media. If you do not wish to appear in the photos, please send us a private message as soon as possible on Instagram (@blablalanguage). - 🦹‍♂️ Remember to keep an eye on your belongings and prioritize your own well-being. We are not responsible for any lost items or personal issues. ................ 👉🦸🏻‍♀️/🦸🏻 Make a Difference with BlaBla: Volunteer as an Event Organizer (volunteering)! These gatherings are brought to you by BlaBla Language Exchange, spanning over 150 cities across 5 continents. We are always looking for new organizers. More information and application here: https://www.blablalanguageexchange.com/event-organizers ................ 👉🦸🏻‍♀️/🦸🏻 Share your photography / video skills: Volunteer as photographer (volunteering)! Are you a photo virtuoso or a video wizard? 📷🎥 Whether you're a pro or a passionate newbie, we want YOU! No cash, but lots of laughs and fame (well, sort of). We'll even give you a virtual high-five! 🌐🙌 More information and application here: https://www.blablalanguageexchange.com/photographer You may also like the following events from BlaBla Language Exchange - Macedonia: Next month, 5th September, 07:00 pm, Community Networking Meetup: For Entrepreneurs, By Entrepreneurs in Skopje Next month, 5th September, 07:00 pm, Dating Meetup - Skopje (Registration is mandatory) in Skopje Next month, 6th September, 10:00 am, Skopje Run (Registration is mandatory / Weekly meetup / Recurrent event ) in Skopje",['event'],BlaBla Language Exchange - Macedonia,07:30 pm - 10:00 pm
bb952b0d0e1630e25ff74b98ee3c3740,https://allevents.in/skopje/stand-up-comedy-in-broken-english-%E2%80%A2-victor-patrascan-in-skopje/80003383521085,Stand up Comedy in broken English • Victor Patrascan in Skopje,,,"Public Room, 50-та Дивизија 22, Skopje 1000, North Macedonia, Skopje, Macedonia, The Former Yugoslav Republic of",https://allevents.in/skopje/stand-up-comedy-in-broken-english-%E2%80%A2-victor-patrascan-in-skopje/80003383521085,,True,"Laugh with Europe's comedy nomad Victor Patrascan as he tells hilarious jokes while asking thought-provoking questions on today’s most controversial topics. You'll hear jokes on subjects like race and religion all the way to gender and politics. This show is not for the easily offended! Don’t miss out on Victor’s newest jokes! Victor’s set includes entirely new jokes not heard during his previous appearance in town. Perfect for locals expats and immigrants this show invites everyone to laugh at modern life’s absurdities. Join us for a show where comedy is at its best - insightful honest and uproariously funny. 🎭 STAND-UP COMEDY in ENGLISH 🎭 🎟️ online tickets from 500 MKD / tickets on the door 1000 MKD Tickets: https://fienta.com/stand-up-comedy-in-broken-english-victor-patrascan-skopje 🚫 16+ age limit The show will be held entirely in English. Victor Patrascan 🇷🇴 • VictorPatrascan.com • @VictorPatrascan Victor Pãtrãşcan is an eccentric stand up comedian and outrageous social commentator from Romania. He’s been on tour consistently for the last 5 years with his self-produced shows all over Europe and Asia. He is now on probably the longest and most extensive self-produced comedy show ever in the world. He honed his craft for joke writing in the London comedy circuit where he lived until 2020. Since then he has lived on the road and has been constantly on tour. In some places such as Kazakhstan Kosovo or in remote fishing villages in Iceland he was the first comedian to ever perform comedy in English. Victor has told his jokes in Japan Germany Italy the Netherlands Greece Austria Singapore Turkiye Sweden France Serbia Switzerland Georgia Finland Belgium Iceland Ukraine Albania Malta Serbia Spain Estonia Italy Cyprus (both sides) Ireland South Korea Liechtenstein Portugal Kosovo Gibraltar Kazakhstan the Czech Republic Iceland Norway Slovakia very close to the Vatican Thailand Georgia UK Slovenia Armenia Croatia Poland Latvia North Macedonia Lithuania Luxembourg UAE Denmark Moldova Vietnam Hungary and even Bulgaria. In 2024 alone Victor self-produced 298 shows and performed to over 35000 people on 2 continents in 48 countries and 114 cities. Victor’s style is distinctly shaped by his peculiar life as a vagabond. Victor weaves this unique experience into his stand up as he has become somewhat of a sponge absorbing the intricacies of European culture and politics. While he jokes about the stereotypes and misconceptions of every country he also highlights the silliness of our presumed differences in an effort to assert our humanity. Victor is now on tour • for more information visit VictorPatrascan.com You may also like the following events from The Comedy Nomad: This Sunday, 10th August, 07:00 pm, the new jokes in broken english • Victor Patrascan in Luxembourg in Luxembourg Next Tuesday, 12th August, 08:00 pm, the new jokes in broken english • Victor Patrascan in Prague in Prague Next Wednesday, 13th August, 08:00 pm, the new jokes in broken english • Victor Patrascan in Prague in Prague Also check out other Performances in Skopje, Comedy events in Skopje, Entertainment events in Skopje.",['event'],The Comedy Nomad,08:00 pm - 10:00 pm
f68ec1852fa57d3becb85289280b6530,https://allevents.in/skopje/dating-meetup-skopje-registration-is-mandatory/200028427636411,Dating Meetup - Skopje (Registration is mandatory),,,"Skopje, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/dating-meetup-skopje-registration-is-mandatory/200028427636411,,True,"💞 Authentic Connections (30–45 y/o) – Real Dating, No Pressure ☕🌹 Looking for real connections — no apps, no swipes, no pressure? Welcome to our dating event designed especially for single men and women aged 30 to 45 who want something genuine in a relaxed and friendly setting. 📅 When: Once a month 💬 Language: French (with some English depending on the group) 💡 The concept: - One-on-one conversations in a calm, pressure-free environment. - Light icebreaker games to spark natural conversations. - No stressful speed dating, no awkward moments — just authentic exchanges - Small groups with balanced ratios (men/women), advance sign-up required. 👥 Who is it for? - For heterosexual singles aged 30 to 45 who are ready for meaningful face-to-face encounters: - Working professionals - Newcomers to the city - Curious hearts looking for something real — maybe love, maybe just great company 💰 Participation: 5€ (ONLINE payment only) Includes: - Access to the event - A private online space to reconnect afterward (in case you didn’t make your move on-site 😉) ⚠️ Good to know: This is a no-judgment, no-pressure space — just mutual respect and openness. Come as you are, with your story, your personality, and your willingness to connect. We can’t promise love… but we’re creating the right space for it to happen 💫 There isn’t necessarily an organizer on site Only 20 spots (10 men / 10 women) available to ensure quality connections. Registration is mandatory. You may also like the following events from BlaBla Language Exchange - Macedonia: Next month, 5th September, 07:00 pm, Community Networking Meetup: For Entrepreneurs, By Entrepreneurs in Skopje Next month, 6th September, 10:00 am, Skopje Run (Registration is mandatory / Weekly meetup / Recurrent event ) in Skopje Next month, 11th September, 07:30 pm, Skopje BlaBla Lanaguage Exchange - Every other Thursday - Recurrent event - in Skopje Also check out other Meetups in Skopje, Virtual events in Skopje.",['event'],BlaBla Language Exchange - Macedonia,07:00 pm - 09:00 pm
05621f815a9158dc8d8d55851da36452,https://allevents.in/skopje/%D0%A4%D0%9E%D0%9B%D0%A2%D0%98%D0%9D/200028641620228,ФОЛТИН,,,"Public Room, 50 Divizija, Skopje, North Macedonia, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/%D0%A4%D0%9E%D0%9B%D0%A2%D0%98%D0%9D/200028641620228,,True,"🎙ФОЛТИН повторно во Public Room на 12. септември! Придружете ни се на уште еден незаборавен концертот оваа сезона, со 👇 Пеце Николовски – кларинет и усна хармоника; Бранислав Николов – гласни и други жици; Пеце Трајковски – Брада – дирки, гитара, перкусии; Гоце Јованоски – бас и Славчо Јовев – тапани 🎫 Билетите се веќе во претпродажба по цена од 500 ден. и можете да ги набавите продажната мрежа на drugastrana.mk Се гледаме на концерт! 🕺 You may also like the following events from Public Room: This month, 23rd August, 09:00 pm, BalkanJazz Group in Skopje Next month, 19th September, 09:00 pm, Кики Лесендриќ и ПИЛОТИ in Skopje This October, 10th October, 09:00 pm, Ламбе Алабаковски in Skopje",['event'],Public Room,
49b0656d49350b179d6a3c9acf1ac2db,https://allevents.in/skopje/empty-story-%E2%80%94-post-punk-from-hungary-in-skopje-la-ka%C3%91a/200028634051637,EMPTY STORY — POST-PUNK FROM HUNGARY IN SKOPJE @LA KAÑA,,,"La Kaña, Улица Азем Хајдари 5, 1132 Скопје, Северна Македонија, Skopje, Macedonia, The Former Yugoslav Republic Of",https://allevents.in/skopje/empty-story-%E2%80%94-post-punk-from-hungary-in-skopje-la-ka%C3%91a/200028634051637,,True,"Join us in a dark night filled with the sound of post-punk culture. The headliner of the evening, Empty Story, bring their hypnotic melodies from Hungary, deeply rooted in post-punk and darkwave tradition. LIVE SHOW: Empty Story venue: Skopje, La Kana Ｅｍｐｔｙ Ｓｔｏｒｙ is a hungarian post-punk band from Békéscsaba.The band it was founded in 2021.The band was inspired by russian post-punk bands: Molchat Doma,Ploho, Nürnberg and the classic goth rock bands: Bauhaus,The Cure. Empty Story combines coldness and loneliness with the stylish sound of russian post-punk. Their songs tell about living in the post-Soviet space with all its features: panel buildings, brainwashing TV and oppressive routine. The band reveals and romanticizes the world of a regular person living in the next flat. Unremarkable life here gets vivid images with melancholic shadow full of nostalgia for the 80s and 90s. /// MUSIC VIDEOS /// ?si=16nn3Nrb-_A_Fk03 ?si=1GSufX5oepSaXPpj ?si=LfySTE7RdZGx7hVD You may also like the following events from Empty Story: Next month, 13th September, 07:00 pm, IV. Békéscsabai Post-Punk Fest //CSAKK Stég in Salonta This October, 2nd October, 09:00 pm, EMPTY STORY — POST-PUNK FROM HUNGARY IN SOFIA @SINGLES in Sofia This October, 3rd October, 08:00 pm, Asphalt Chant / EMPTY STORY(HU) / Belgrade, Klub Fest, 03.October 2025 in Belgrade Also check out other Entertainment events in Skopje, Music events in Skopje.",['event'],Empty Story,
