Event ID,Title,Category/Tags,Date/Time,Timestamp,Location,Description,Organizer Name,Ticket Price,Free Flag,Ticket URL
cineplexx_20250811_4915,Open Air Cinema,акција,2025-08-11 19:00,1754931600,Cineplexx Skopje City Mall,Кинo проекција на Open Air Cinema,Cineplexx,250 MKD,False,https://www.cineplexx.mk/events/Open%20Air%20Cinema
cineplexx_20250810_3650,#RUNSEOKJIN_EP.TOUR in AMSTERDAM: LIVE VIEWING,музички,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/%23RUNSEOKJIN_EP.TOUR-in-AMSTERDAM:-LIVE-VIEWING?date=2025-08-10&location=all
cineplexx_20250810_9302,Bring Her Back,Хорор,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/bring-her-back?date=2025-08-10&location=all
cineplexx_20250811_1696,Детски билет,акција,2025-08-11 19:00,1754931600,Cineplexx Skopje City Mall,Кинo проекција на Детски билет,Cineplexx,250 MKD,False,https://www.cineplexx.mk/events/%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%20%D0%B1%D0%B8%D0%BB%D0%B5%D1%82
cineplexx_20250810_5671,The Naked Gun,Комедија,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/the-naked-gun?date=2025-08-10&location=all
cineplexx_20250810_269,Како да го дресирате вашиот змеј,Акција,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/how-to-train-your-dragon?date=2025-08-10&location=all
cineplexx_20250810_6352,Лило и Стич,анимиран,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/lilo-i-stitch?date=2025-08-10&location=all
cineplexx_20250810_2712,Оружја,Драма,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/weapons?date=2025-08-10&location=all
cineplexx_20250810_6665,Светот Јура: Препород,Акција,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/%D0%A1%D0%B2%D0%B5%D1%82%D0%BE%D1%82-%D0%88%D1%83%D1%80%D0%B0:-%D0%9F%D1%80%D0%B5%D0%BF%D0%BE%D1%80%D0%BE%D0%B4?date=2025-08-10&location=all
cineplexx_20250810_7143,Супермен,Фантазија,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B5%D0%BD?date=2025-08-10&location=all
cineplexx_20250810_5754,Уште пооткачен петок,Комедија,2025-08-10 19:00,1754845200,Cineplexx Skopje City Mall,"Можно е само онлајн купување, резервации не се можни.",Cineplexx,250 MKD,False,https://www.cineplexx.mk/film/freakier-friday?date=2025-08-10&location=all
