event_id,url,title,date_start,time_start,location,ticket_url,ticket_price_text,ticket_free,description,category,categories,organizer,duration
33eb907929fb2dc70303c5593f0740bc,https://allevents.in/skopje/%D0%92%D0%B0%D1%81%D0%B8%D0%BB-%D0%A5%D0%B0%D1%9F%D0%B8%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2-%D0%91%D0%B5%D0%BD%D0%B4/200028661894402,Васил Хаџиманов Бенд,,,Public Room,https://allevents.in/skopje/%D0%92%D0%B0%D1%81%D0%B8%D0%BB-%D0%A5%D0%B0%D1%9F%D0%B8%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2-%D0%91%D0%B5%D0%BD%D0%B4/200028661894402,,True,"🎷 Васил Хаџиманов Бенд со концерт во Public Room на 1ви ноември! 

Оваа извонредна група музичари веќе долги години ја воодушевува публиката ширум светот со својот единствен звук.  🎶
Нивната музика се одликува со иновативни аранжмани, автентична звучна естетика и креативни експерименти со различни м",Music,['Music'],Public Room,
2454fabf750ad760b11acb9b0a797cc3,https://allevents.in/skopje/digital-nomad-meetup-skopje-registration-is-mandatory/200028453722517,Digital Nomad Meetup Skopje (Registration is mandatory),,,Skopje,https://allevents.in/skopje/digital-nomad-meetup-skopje-registration-is-mandatory/200028453722517,,True,"🚀 Digital Nomad Meetup – Connection, Inspiration & Caffeine ☕🌍

Tired of working remotely all by yourself? Come meet other digital nomads in a warm, relaxed atmosphere!

No rigid schedule — just real conversations, useful tips, good vibes, and maybe even future coworking or travel buddies.

📅 Fr",Business,['Business'],BlaBla Language Exchange - Macedonia,10:00 am - 12:00 pm
360876180dc782a1efa29cc65995ac2e,https://allevents.in/skopje/%E2%80%9E12/200028556285455,„12“,,,"11 Март, Skopje, Republic of Macedonia",https://allevents.in/skopje/%E2%80%9E12/200028556285455,,True,"„12“ 
По мотивите на Реџиналд Роуз 
(12 Angry Men)
Адаптација и режија: Синиша Евтимов

Асистент на режисерот: Борјан Стојков 
Извршен продуцент: Виктор Рубен 
Сценограф: Мартин Манев 
Музика: ПМГ Колектив 
Костимограф: Александар Ношпал 
Асистент на костимографот: Никола Булески

Премиерна изведба:",Theater,['Theater'],Македонски народен театар / Makedonski naroden teatar,
2f7d38ed7b0095364083487fd5f3173c,https://allevents.in/skopje/aero-street-food-festival/200028688783204,AERO Street Food Festival,,,Парк Аеродром (Авион),https://allevents.in/skopje/aero-street-food-festival/200028688783204,,True,"Четири дена исполнети со врвна гастрономија, одлична музика, забавна програма и активности. Десетици излагачи со street food специјалитети од 4 кујни од светот, настапи на музички групи и диџеи, забавни предизвици и освежителни пијалаци за совршено ново светско искуство!",Music,['Music'],,
025fc07ea6f8e5a219b991522513e7cc,https://allevents.in/skopje/sunn-o-%D0%9C%D0%9A%D0%A6-%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5/200028563276334,SUNN O))) / МКЦ / Скопје,,,Младински Културен Центар,https://allevents.in/skopje/sunn-o-%D0%9C%D0%9A%D0%A6-%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5/200028563276334,,True,"FUCK YOGA/ MILITANT ZAZA претставува SUNN O))) во Скопје

SUNN O))) во жив аспект се враќа со суштински, првобитно-сиров облик.

Основачите/гитаристи Стивен О`Мајли и Грег Андерсон ќе изведуваат како дует задлабочен во бујно лампашко засилување,
спектрални хармонии, дисторзија и волумен.

Јасни и др",Sports,['Sports'],FUCK YOGA records,
7d82596a871c720524b0e1fb79d824fd,https://allevents.in/skopje/%E2%80%9E%D0%91%D0%95%D0%9B%D0%98-%D0%9D%D0%9E%D0%8C%D0%98/200028556285659,„БЕЛИ НОЌИ“,,,"11 Март, 1000 Skopje, Republic of Macedonia",https://allevents.in/skopje/%E2%80%9E%D0%91%D0%95%D0%9B%D0%98-%D0%9D%D0%9E%D0%8C%D0%98/200028556285659,,True,"Автор: Ф. М. Достоевски
Режија и адаптација: Звездана Ангеловска
Сценограф: Мартин Манев
Костимограф: Роза Трајческа-Ристовска
Композитор: Марјан Неќак

Играат:
Ана Јовановска
Дамјан Цветановски



Извршен продуцент: Симона Угриновска
Продуцент: Дамјан Цветановски

Инспициент: Вукица Александрова

Д",Business,['Business'],Македонски народен театар / Makedonski naroden teatar,
6f1589ec5f16230a204624fd1b31178e,https://allevents.in/skopje/%D0%9B%D0%B0%D0%BC%D0%B1%D0%B5-%D0%90%D0%BB%D0%B0%D0%B1%D0%B0%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8/200028644565913,Ламбе Алабаковски,,,Public Room,https://allevents.in/skopje/%D0%9B%D0%B0%D0%BC%D0%B1%D0%B5-%D0%90%D0%BB%D0%B0%D0%B1%D0%B0%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8/200028644565913,,True,"📢 Ве покануваме на уште еден ексклузивен концерт! На 10. октомври во Public Room ни гостува Ламбе Алабаковски!

Најпрво ќе уживаме во изведбите на ""Море од солзи"", ""Врати ми го срцето"", ""Како Пиреј"" и други, а потоа во македонски евергрини и етно музика 🇲🇰

🎫 Билети во претпродажба на drugastrana.mk",Music,['Music'],Public Room,
2a53364c667dcb1da3f41c870f666000,https://allevents.in/skopje/%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D0%B8-%D0%B2%D0%BE-%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0-%D0%B4%D0%B5%D0%BB-i/200028567364456,Ангели во Америка (дел I),,,"11 Март, 1000 Skopje, North Macedonia",https://allevents.in/skopje/%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D0%B8-%D0%B2%D0%BE-%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0-%D0%B4%D0%B5%D0%BB-i/200028567364456,,True,"Автор: Тони Кушнер
Режисер: Во режија, превод и кореографија на Филип Петковски
Продуцент: Петар Антевски
Сценограф: Мартин Манев
Костимограф: Антонија Гугинска-Јорданоска
Асистент на режисерот: Антонија Белазелковска
Претставата се реализира како копродукциски проект меѓу Македонскиот народен теата",Theater,['Theater'],Македонски народен театар / Makedonski naroden teatar,
c804cda9d58c0ebbb7610ce803722672,https://allevents.in/skopje/highlander-galichica-macedonia/200028322135322,HIGHLANDER Galichica Macedonia,,,Galichica,https://allevents.in/skopje/highlander-galichica-macedonia/200028322135322,,True,"Get ready to explore the untouched beauty of National Park Galichica from September 5 - 7, 2025. Nestled between the stunning Lake Ohrid and Lake Prespa, this adventure is your ticket to three unforgettable days in nature's paradise.

HIGHLANDER Pegasus 
(September 5 - 7, 2025): 
A three-day, fully",Art,['Art'],HIGHLANDER Adventure,
f151c692d1b3e379a6177cdb63f0ee59,https://allevents.in/skopje/%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D0%B8%D0%BB%D0%BD%D0%B8%D1%86%D0%B0-%D0%B7%D0%B0-%D0%BF%D0%BE%D0%B2%D1%80%D0%B7%D1%83%D0%B2%D0%B0%D1%9A%D0%B5-%D0%B8-%D0%B8%D1%81%D1%86%D0%B5%D0%BB%D1%83%D0%B2%D0%B0%D1%9A%D0%B5-%D0%9F%D0%BE%D0%B2%D0%B8%D0%BA-%D0%BE%D0%B4-%D0%9A%D0%BE%D1%81%D0%BC%D0%B8%D1%87%D0%BA%D0%B0%D1%82%D0%B0-%D0%9C%D0%B0%D1%98%D0%BA%D0%B0/200028576895024,Работилница за поврзување и исцелување: Повик од Космичката Мајка,,,Долно Соње,https://allevents.in/skopje/%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D0%B8%D0%BB%D0%BD%D0%B8%D1%86%D0%B0-%D0%B7%D0%B0-%D0%BF%D0%BE%D0%B2%D1%80%D0%B7%D1%83%D0%B2%D0%B0%D1%9A%D0%B5-%D0%B8-%D0%B8%D1%81%D1%86%D0%B5%D0%BB%D1%83%D0%B2%D0%B0%D1%9A%D0%B5-%D0%9F%D0%BE%D0%B2%D0%B8%D0%BA-%D0%BE%D0%B4-%D0%9A%D0%BE%D1%81%D0%BC%D0%B8%D1%87%D0%BA%D0%B0%D1%82%D0%B0-%D0%9C%D0%B0%D1%98%D0%BA%D0%B0/200028576895024,,True,"🌸 Вечерна духовна работилница – 
30 август (сабота) | 17:00 – 20:00 | Долно Соње

Во срцето на летото, кога природата тивко преминува во есен и се буди желбата за внатрешна тишина и подлабока свесност, ве поканувам на еден посебен настан – вечерна духовна работилница посветена на љубовта, исцелување",Education,['Education'],Healthy Life Skills,
