event_id,url,title,date_start,time_start,location,ticket_url,ticket_price_text,ticket_free,description,category,organizer,genre,director,actors,duration,year
c0a320013339bb808d46970cd6c2ba53,https://www.cineplexx.mk/events/Filmtasticna%20januari%202026,Филмтастична недела,30 Декември,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/events/Filmtasticna%20januari%202026,250 ден.,False,Кино проекција на Филмтастична недела,movie,Cineplexx,,,,,
b30b0b6b820b9249bf2c5961b9ca42ec,https://www.cineplexx.mk/film/avatar-fire-and-ash?date=2026-01-08&location=all,Аватар: Оган и пепел,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/avatar-fire-and-ash?date=2026-01-08&location=all,250 ден.,False,"Jake and Neytiri's family grapples with grief after Neteyam's death, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang.",movie,Cineplexx,"Фантазија, Акција, Авантура",James Cameron,"Sigourney Weaver, Zoe Saldana, Oona Chaplin, Stephen Lang, Sam Worthington, Cliff Curtis, Giovanni Ribisi, Joel David Moore",3h 17m,2025
8ff800ebbdd03e6fc166ea73fc337de3,https://www.cineplexx.mk/film/anaconda?date=2026-01-08&location=all,Анаконда,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/anaconda?date=2026-01-08&location=all,250 ден.,False,"Даг (Џек Блек) и Гриф (Пол Рад) се најдобри другари од детството. Отсекогаш сонувале повторно да го снимат својот најдраг филм, филмскиот класик „Анаконда“.",movie,Cineplexx,"Комедија, Акција, Авантура",Tom Gormican,"Steve Zahn, Jack Black, Paul Rudd, Daniela Melchior, Thandiwe Newton, Selton Mello",1h 40m,2025
cdfdb522bb65a016171a6b5148990e7d,https://www.cineplexx.mk/events/Telekom%201+1,Одиме на кино и во среда,28 Октомври,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/events/Telekom%201+1,250 ден.,False,Кино проекција на Одиме на кино и во среда,movie,Cineplexx,,,,,
45096bdad315001191124750aa84dc29,https://www.cineplexx.mk/film/bibi-i-bobi-vo-svetot-na-bajkite?date=2026-01-08&location=all,Биби и Боби во светот на бајките,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/bibi-i-bobi-vo-svetot-na-bajkite?date=2026-01-08&location=all,250 ден.,False,"Kомпилација од четири омилени и нови сказни: „Снежната кралица“, „Биби и вретеното“, „Биби и зрното грашок“ и „Биби, Боби и волче (Трите прасиња)“.",movie,Cineplexx,Анимиран,"Dimitar Arizanov, Josip Zdravkovski, Goce Cvetanovski","Saško Kocev, Nikola Ristanovski, Slagana Vujosevik, Saška Dimitrovska",0h 45m,2025
dcf3fe7c05213ed6782154b40838e3b3,https://www.cineplexx.mk/film/boziken-lov-na-gluvci?date=2026-01-08&location=all,Божиќен лов на глувци,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/boziken-lov-na-gluvci?date=2026-01-08&location=all,250 ден.,False,"Во срцето на идилична селска куќа, семејство глувци се зафатени со подготовки за уште еден магичен Божиќ.",movie,Cineplexx,"Анимиран , Семеен",Henrik Martin Dahlsbakken,,1h 20m,2025
179c8ccc81068748fc68155e79d3d886,https://www.cineplexx.mk/film/vrakjanje-na-zikina-dinastija?date=2026-01-08&location=all,Враќање на Жикина династија,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/vrakjanje-na-zikina-dinastija?date=2026-01-08&location=all,250 ден.,False,Никола Којо му се враќа на ликот на Миша Павловиќ по повеќе од 30 години.,movie,Cineplexx,Комедија,Milan Konjević,"Vesna Čipčić, Jovo Maksić, Nikola Kojo, Mladen Sovilj, Nikola Brun, Gavrilo Ivanković, Vladimir Petrović, Danijela Dimitrovska",1h 40m,2025
ad66944728b13ef910c88076133a9246,https://www.cineplexx.mk/film/zootopia-2?date=2026-01-08&location=all,Зоотропола 2,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/zootopia-2?date=2026-01-08&location=all,250 ден.,False,ЗООТРОПОЛА 2 – СЕ ВРАТИЈА ЗАЈАЧИЦАТА И ЛИСЕЦОТ! 🐾,movie,Cineplexx,"Комедија, Авантура, Анимиран","Jared Bush, Byron Howard","Jason Bateman, Ke Huy Quan, Rolando Davila-Beltran, Ginnifer Goodwin, Fortune Feimster, Shakira",1h 47m,2025
9ee4460b1e14d125f6b42a76e6b3c93b,https://www.cineplexx.mk/film/yugo-florida?date=2026-01-08&location=all,Југо флорида,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/yugo-florida?date=2026-01-08&location=all,250 ден.,False,Осамениот Зоран (Андрија Кузмановиќ) има многу одговорна задача - на монитори во режијата на риалити програма ги гледа учесниците додека спијат.,movie,Cineplexx,Драма,Vladimir Tagić,"Andrija Kuzmanović, Nikola Pejaković, Vahid Džanković, Goran Slavić, Snježana Sinovčić Šiškov, Hana Selimović, Jana Milosavljević, Bojana Stojković, Iva Milanovič, Ivana Nikolić",1h 52m,2026
05e166ea8f296e9c30c4c64fcb038db9,https://www.cineplexx.mk/film/the-housemaid?date=2026-01-08&location=all,Куќната помошничка,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/the-housemaid?date=2026-01-08&location=all,250 ден.,False,Напната приказна за куќа полна со тајни и за опасностите што демнат зад затворената врата.,movie,Cineplexx,Трилер,Paul Feig,"Amanda Seyfried, Michele Morrone, Sydney Sweeney , Brandon Sklenar",2h 11m,2025
b009016d9b09e605708df32753ac2a9d,https://www.cineplexx.mk/film/five-nights-at-freddys?date=2026-01-08&location=all,Пет ноќи кај Фреди,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/five-nights-at-freddys?date=2026-01-08&location=all,250 ден.,False,"Секој може да успее да преживее пет ноќи. Овој пат, нема да има втора шанса.",movie,Cineplexx,"Трилер, Хорор, Мистерија",Emma Tammi,"Mckenna Grace, Josh Hutcherson, Elizabeth Lail, Matthew Lillard, Piper Rubio, Freddy Carter, Theodus Crane, Wayne Knight, Skeet Ulrich",1h 44m,2025
fe854e2eb46ec213d8920bb2dee265dc,https://www.cineplexx.mk/film/primate?date=2026-01-08&location=all,Примат,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/primate?date=2026-01-08&location=all,250 ден.,False,"Тропскиот одмор на група пријатели се претвора во застрашувачка, примитивна приказна за ужас и опстанок.",movie,Cineplexx,Хорор,Johannes Roberts,"Charlie Mann, Johnny Sequoyah, Jessica Alexander, Troy Kotsur, Victoria Wyant, Gia Hunter, Benjamin Cheng, Tienne Simon",1h 29m,2026
4147dbc46a266c34cbd57b2028b7287a,https://www.cineplexx.mk/film/tainstvenata-suma?date=2026-01-08&location=all,Таинствената шума,8 Јануари,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/tainstvenata-suma?date=2026-01-08&location=all,250 ден.,False,"Филмот го следи Анџело, десетгодишно дете кое сонува да стане истражувач и зоолог.",movie,Cineplexx,Анимиран,"Vincent Paronnaud, Alexis Ducord","Yolande Moreau, Philippe Katerine, José Garcia, Dario Hardouin-Spurio",1h 20m,2026
